School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Mesivta Of Eastern Parkway Rabbinical Seminary,60547,30274
Butte County Regional Occupational Program,60515,30258
Dongguk University Los Angeles,60458,30229
Lee Professional Institute,60437,30219
Phagans' Medford Beauty School,60405,30203
Rob Roy Academy,60343,30172
Access Careers,60255,30128
Shor Yoshuv Rabbinical College,59797,29899
Northern Technical College,59671,29836
Mingo Extended Learning Center,59512,29756
Cayuga Onondaga Boces,59419,29710
Texas Health And Science University,59416,29708
Union Theological Seminary,59416,29708
Saint Louis Christian College,59391,29696
Graduate Theological Union,59068,29534
Yo San University Of Traditional Chinese Medicine,59068,29534
Cattaraugus/Allegany/Erie/Wyoming Boces,58802,29401
Redondo Beach Beauty College,58790,29395
Seattle School Of Theology And Psychology (The),58777,29389
American College Of Hair Design,58724,29362
Nuvo College Of Cosmetology,58614,29307
Lexington Healing Arts Academy,58500,29250
Florida College Of Integrative Medicine,58486,29243
Mystros Barber Academy,58383,29192
Cloyd'S Beauty School #1,58274,29137
Palmetto Beauty School,58220,29110
Stacey James Institute,58169,29085
American Hair Academy,57867,28934
University Of The Potomac,57862,28931
United Technical Center,57801,28901
House Of Heavilin Of Blue Springs,57775,28888
Niles School Of Cosmetology,57709,28855
Delta Beauty College,57587,28794
Academy Of Massage And Bodywork,57444,28722
Four Rivers Career Center,57399,28700
Foster'S Cosmetology College,57219,28610
Southern School Of Beauty,57017,28509
Shawsheen Valley School Of Practical Nursing,56964,28482
Middle Tennessee School Of Anesthesia,56794,28397
Aiken School Of Cosmetology And Barbering,56697,28349
Omega Institute Of Cosmetology,56616,28308
Hypnosis Motivation Institute,56543,28272
Iowa School Of Beauty,56508,28254
Yeshivas Emek Hatorah,56454,28227
United Lutheran Seminary,56158,28079
Bucks County School Of Beauty Culture,55682,27841
Ur Beauty & Barber Academy,55477,27739
Paul Mitchell The School St. George,55312,27656
Yeshiva Gedolah Rabbinical College,55254,27627
Kaizen Beauty Academy,55217,27609
Champion Beauty College,55136,27568
Gratz College,54996,27498
Iyrs School Of Technology & Trades,54919,27460
Garrett - Evangelical Theological Seminary,54902,27451
C H Mccann Technical School,54800,27400
"Avenue Academy, A Cosmetology Institute (The)",54745,27373
Hair Academy School Of Barbering & Beauty,54631,27316
Mak Beauty Institute,54557,27279
International Beauty Education Center,54461,27231
"High Plains Technology Center, School District No. 24",54421,27211
Massachusetts School Of Barbering,54414,27207
Healthcare Institute (The),54372,27186
Rosedale Bible College,54367,27184
Altoona Beauty School,54362,27181
Santa Barbara And Ventura Colleges Of Law (The),54315,27158
Universal College Of Healing Arts,54312,27156
Modern Beauty Academy - Oxnard,54154,27077
Oehrlein School Of Cosmetology,54088,27044
Otsego Delaware Schoharie Greene Boces,54054,27027
Legrand Institute Of Cosmetology,54018,27009
Professional Cosmetology Education Center,53985,26993
Scott College Of Cosmetology,53972,26986
Treasure Coast Technical College,53915,26958
Adler Graduate School,53819,26910
Hastings Beauty School,53763,26882
Susquehanna County Career & Technology Center,53535,26768
Omega Studios' School Of Applied Recording Arts & Sciences,53482,26741
Empire Beauty School,53477,26739
Carolina College Of Hair Design,53472,26736
Waynesville Career Center,53380,26690
Avi Career Training,53197,26599
Faith Theological Seminary,53194,26597
Massage Therapy Institute Of Colorado,53176,26588
Borner'S Barber College,53064,26532
Lakewood School Of Therapeutic Massage,52948,26474
Saline County Career Center,52890,26445
Phagans' School Of Beauty,52869,26435
Santa Ana Beauty Academy,52745,26373
Mr. John'S School Of Cosmetology & Nails,52727,26364
Chisholm Trail Technology Center School District No. 26,52640,26320
Conception Seminary College,52627,26314
Avalon School Of Cosmetology,52436,26218
World Mission University,52382,26191
L Makeup Institute,52324,26162
Divine Word College,52060,26030
Evans Hairstyling College,52053,26027
Augusta School Of Massage,52041,26021
Elite Academy Of Hair Design,51496,25748
Arkansas Welding Academy,51346,25673
Birthwise Midwifery School,51189,25595
Princess Beauty School,51144,25572
D. A. Dorsey Technical College,51116,25558
Saint John'S Seminary,50920,25460
Poplar Bluff Technical Career Center,50853,25427
Sharp'S Academy Of Hairstyling,50808,25404
State College Of Beauty Culture,50340,25170
Ideal Beauty Academy,50189,25095
Crawford County Career & Technical Center,49853,24927
Jefferson County Dubois Area Vocational Techl School Practical Nursing,49739,24870
Ukiah Adult School,49598,24799
Total Transformation Institute Of Cosmetology,49523,24762
Academy Of Chinese Culture And Health Sciences,49465,24733
Margaret H. Rollins School Of Nursing At Beebe Medical Center,49412,24706
Blalock'S Professional Beauty College,48933,24467
School Of Diagnostic Imaging-Cleveland Clinic Health System,48618,24309
Global Medical & Technical Training Institute,48533,24267
Alexandria School Of Scientific Therapeutics,48376,24188
Vh Barber & Styling Academy,48247,24124
New Dimensions Beauty Academy,48218,24109
Mid Cities Barber College,48082,24041
Mountain State School Of Massage,47967,23984
Cannella School Of Hair Design,47966,23983
Tigi Hairdressing Academy Guilford,47853,23927
Catholic Theological Union At Chicago,47654,23827
Myotherapy Institute,47524,23762
Wave Leadership College,47516,23758
Keene Beauty Academy,47439,23720
Polytech Adult Education,47434,23717
Top Of The Line Barber College,47386,23693
American Institute Of Interior Design,47278,23639
Champ'S Barber School,47263,23632
Culinary School Of Fort Worth (The),47260,23630
Career Beauty College,47255,23628
Kirksville Area Technical Center,47216,23608
Arkansas Colleges Of Health Education,47138,23569
Abco Technology,46979,23490
Creative Touch Cosmetology School,46816,23408
Advanced Welding Institute,46587,23294
Bais Medrash Mayan Hatorah,46377,23189
Tiffin Academy Of Hair Design,46336,23168
Professionals Choice Hair Design Academy,46213,23107
Warrensburg Area Career Center,46106,23053
Curve Metric School Of Hair Design,46054,23027
New York Theological Seminary,45974,22987
American College Of Acupuncture & Oriental Medicine,45939,22970
Missio Theological Seminary,45643,22822
Huntingdon County Career And Technology Center,45583,22792
Louisville Presbyterian Theological Seminary,45392,22696
Southwestern College,45392,22696
Aparicio-Levy Technical College,45310,22655
Luckes Beauty Academy,45259,22630
Lex La Ray Technical Center,44826,22413
Cloyd'S Barber School #2,44745,22373
Yeshivath Beth Moshe,44687,22344
Cannella School Of Hair Design,44650,22325
New Dimension School Of Hair Design,44577,22289
Center For Massage & Natural Health,44551,22276
Interdenominational Theological Center,44417,22209
River Valley Cosmetology Institute,44407,22204
Millennia Atlantic University,44229,22115
Aoma Graduate School Of Integrative Medicine,44228,22114
Jupiter Beauty Academy,44219,22110
Regina Webb Academy,44105,22053
William Edge Institute,44088,22044
Divine Crown Barber & Beauty Academy,44060,22030
Yeshiva Shaar Hatorah,43952,21976
Michigan School Of Psychology,43937,21969
The Landing School Of Boatbuilding & Design,43850,21925
Blackstone Valley Vocational Regional School District,43819,21910
Institute Of Medical Ultrasound,43581,21791
Academy Of Cosmetology,43527,21764
Apex Academy Hair Skin Nails School Of Cosmetology,43429,21715
Rabbinical College Beth Shraga,43268,21634
Southern Worcester County Regional Voc School District,43105,21553
University Of Saint Mary Of The Lake,43064,21532
University Of Aesthetics & Cosmetology,43036,21518
Dehart Technical School,42994,21497
Textures Institute Of Cosmetology,42921,21461
Arkansas Beauty College,42819,21410
"Beauty School, (The)",42726,21363
Colegio Técnico De Electricidad Galloza,42670,21335
San Joaquin College Of Law,42482,21241
Lehigh Valley Barber School,42426,21213
Takoda Institute Of Higher Education,42315,21158
Watts College Of Nursing,42191,21096
Phoenix Seminary,42117,21059
Alaska Bible College,42068,21034
Continental Academie Of Hair Design,42043,21022
Icohs College,41928,20964
Messenger College,41759,20880
Advantage Career Institute,41609,20805
Appalachian School Of Law,41609,20805
Union Presbyterian Seminary,41609,20805
Gem City College,41594,20797
Kentucky Horseshoeing School,41510,20755
Fountain Of Youth Academy Of Cosmetology,41507,20754
Hair Professionals Career College,41496,20748
Presbyterian Theological Seminary In America,41486,20743
Circle In The Square Theatre School,41430,20715
Clear Creek Baptist Bible College,41384,20692
Lansdale School Of Cosmetology,41255,20628
Salon Professional Academy Of San Antonio (The),41200,20600
Erikson Institute,41187,20594
Gadsden Technical Institute,41133,20567
Webb Institute,41119,20560
Cranbrook Academy Of Art,41027,20514
Saint Meinrad School Of Theology,40897,20449
National Latino Education Institute,40882,20441
Mineral County Vocational Technical Center,40808,20404
Pittsburgh Theological Seminary,40736,20368
Welder Training & Testing Institute,40685,20343
National Conservatory Of Dramatic Arts,40522,20261
Steven Papageorge Hair Academy,40486,20243
St. Vincent De Paul Regional Seminary,40445,20223
North Central Institute,40259,20130
Virginia School Of Hair Design,40047,20024
Alliance Computing Solutions,40031,20016
Penta County Vocational School,39934,19967
New York Academy Of Art (The),39863,19932
Oblate School Of Theology,39831,19916
Sacramento Ultrasound Institute,39829,19915
Mercer County Career Center,39531,19766
Sage School Of Massage & Esthetics,39511,19756
Vanguard - Sentinel Joint Vocational School District,39503,19752
Neosho Beauty College,39487,19744
K&G 5 Star Barber College,39446,19723
Graham Hospital School Of Nursing,39279,19640
Southern California Seminary,39208,19604
Iliff School Of Theology,39110,19555
Port Huron Cosmetology College,39026,19513
U.S. Truck Driver Training School,38918,19459
Midfield Institute Of Cosmetology,38911,19456
Medina County Joint Vocational School,38825,19413
California Jazz Conservatory,38567,19284
Strand Institute Of Beauty & Esthetics (The),38506,19253
Presidio Graduate School,38408,19204
Yeshiva Ohr Naftoli,38357,19179
Anousheh School Of Hair,38286,19143
American Beauty Schools,38193,19097
St. John Vianney College Seminary,38046,19023
University Of Aesthetics & Cosmetology (The),37971,18986
Another Level Barbering And Cosmetology School,37931,18966
Annenberg School Of Nursing,37770,18885
Cass Career Center,37739,18870
Institute Of World Politics (The),37536,18768
Methodist Theological School In Ohio,37536,18768
Wood County Technical Center,37341,18671
Kor Beauty Academy,37326,18663
Phoenix Institute Of Herbal Medicine & Acupuncture,37245,18623
Greene County Career Center,37198,18599
Buckner Barber School,37184,18592
Mahoning County Career And Technical Center,37149,18575
Merryfield School Of Pet Grooming,37149,18575
Pipo Academy Of Hair Design,37076,18538
North American Baptist Seminary,37001,18501
Ray J'S College Of Hair,36978,18489
Centro De Estudios Avanzados De Puerto Rico Y El Caribe,36954,18477
John A Gupton College,36947,18474
Monteclaro: Escuela De Hoteleria Y Artes Culinarias,36831,18416
Velvatex College Of Beauty Culture,36831,18416
Ilisagvik College,36806,18403
Memphis Theological Seminary,36663,18332
Holistic Massage Training Institute,36599,18300
Randolph Technical Center,36561,18281
Urban 113 School Of Cosmetology,36448,18224
European Medical School Of Massage,36317,18159
Westminster Theological Seminary In California,35790,17895
Berks Career & Technology Center,35466,17733
Florida School Of Traditional Midwifery,35271,17636
Lorain County Jvs Adult Career Center,35237,17619
California Institute Of Medical Science,35107,17554
Roberto-Venn School Of Luthiery,35092,17546
San Francisco Film School,34950,17475
Austin Presbyterian Theological Seminary,34917,17459
Allied Health Careers Institute,34679,17340
La' James International College,34528,17264
John Patrick University Of Health And Applied Sciences,34392,17196
Marketti Academy Of Cosmetology,34387,17194
Union Bible College,34343,17172
Wartburg Theological Seminary,34289,17145
American Academy Of Health And Beauty,34010,17005
Hazleton Area Career Center,33666,16833
America Evangelical University,33544,16772
Academy Of Natural Therapy,33501,16751
Flagler Technical Institute,33483,16742
Top Nails & Hair Beauty School,33446,16723
La' James International College - Des Moines,33414,16707
Tri-State Barber College,33384,16692
Knox Beauty College,32917,16459
Pure Aesthetics Natural Skincare School,32907,16454
Colorado School Of Traditional Chinese Medicine,32880,16440
Mccormick Theological Seminary,32880,16440
Williamson Christian College,32878,16439
Hebrew College,32876,16438
Charlotte Christian College And Theological Seminary,32851,16426
Geisinger-Lewistown Hospital School Of Nursing,32817,16409
Grace School Of Theology,32732,16366
Montachusett Regional Vocational Technical School,32693,16347
Platt Technical High School,32573,16287
School Of Missionary Aviation Technology,32257,16129
Rob Roy Academy,32113,16057
Central Yeshiva Beth Joseph,32027,16014
Yukon Beauty College,31965,15983
Innovations Design Academy,31827,15914
Yeshiva Gedolah Zichron Leyma,31665,15833
Howell Cheney Technical High School,31645,15823
"Acupuncture And Integrative Medicine College, Berkeley",31425,15713
Hood Theological Seminary,31336,15668
